LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
75.763719,-44.108998,45816.5379,2947.88,3429.3959,2002051801001,554.96,3502.85,1
75.763656,-44.108515,45816.6358,2948.04,3429.4191,2002051801001,554.85,3502.88,1
75.763593,-44.108033,45816.7338,2948.01,3429.4422,2002051801001,554.75,3502.76,1
75.763531,-44.107550,45816.8317,2947.94,3429.4653,2002051801001,554.66,3502.60,1
75.763468,-44.107067,45816.9296,2947.81,3429.4884,2002051801001,554.61,3502.42,1
75.763405,-44.106584,45817.0276,2947.62,3429.5135,2002051801001,554.58,3502.20,1
75.763343,-44.106101,45817.1255,2947.40,3429.5437,2002051801001,554.56,3501.96,1
75.763280,-44.105619,45817.2234,2947.12,3429.5738,2002051801001,554.58,3501.70,1
75.763217,-44.105136,45817.3214,2946.81,3429.6040,2002051801001,554.61,3501.43,1
75.763155,-44.104653,45817.4193,2946.49,3429.6341,2002051801001,554.64,3501.14,1
75.763092,-44.104170,45817.5172,2946.17,3429.6645,2002051801001,554.67,3500.84,1
75.763029,-44.103687,45817.6151,2945.83,3429.6958,2002051801001,554.70,3500.53,1
75.762967,-44.103204,45817.7130,2945.46,3429.7272,2002051801001,554.73,3500.19,1
75.762904,-44.102722,45817.8109,2945.01,3429.7585,2002051801001,554.76,3499.77,1
75.762841,-44.102239,45817.9088,2944.49,3429.7898,2002051801001,554.79,3499.28,1
75.762779,-44.101756,45818.0067,2943.91,3429.8210,2002051801001,554.82,3498.73,1
75.762716,-44.101273,45818.1047,2943.31,3429.8500,2002051801001,554.85,3498.16,1
75.762654,-44.100790,45818.2027,2942.68,3429.8790,2002051801001,554.88,3497.56,1
75.762591,-44.100307,45818.3007,2942.05,3429.9080,2002051801001,554.91,3496.96,1
75.762529,-44.099823,45818.3987,2941.43,3429.9370,2002051801001,554.94,3496.37,1
75.762466,-44.099340,45818.4967,2940.85,3429.9660,2002051801001,554.97,3495.82,1
75.762403,-44.098857,45818.5946,2940.31,3429.9912,2002051801001,554.99,3495.30,1
75.762341,-44.098375,45818.6925,2939.79,3430.0163,2002051801001,555.02,3494.80,1
75.762278,-44.097892,45818.7904,2939.24,3430.0413,2002051801001,555.05,3494.28,1
75.762216,-44.097409,45818.8883,2938.68,3430.0664,2002051801001,555.06,3493.74,1
75.762153,-44.096926,45818.9862,2938.12,3430.0915,2002051801001,555.09,3493.21,1
75.762090,-44.096443,45819.0841,2937.57,3430.1150,2002051801001,555.12,3492.69,1
75.762028,-44.095961,45819.1820,2937.07,3430.1383,2002051801001,555.14,3492.20,1
75.761965,-44.095478,45819.2799,2936.60,3430.1616,2002051801001,555.15,3491.76,1
75.761902,-44.094995,45819.3778,2936.21,3430.1849,2002051801001,555.09,3491.30,1
75.761840,-44.094512,45819.4756,2935.89,3430.2082,2002051801001,555.01,3490.89,1
75.761777,-44.094029,45819.5736,2935.66,3430.2325,2002051801001,554.89,3490.56,1
75.761715,-44.093546,45819.6716,2935.53,3430.2572,2002051801001,554.76,3490.29,1
75.761652,-44.093063,45819.7695,2935.46,3430.2819,2002051801001,554.60,3490.06,1
75.761590,-44.092580,45819.8675,2935.41,3430.3066,2002051801001,554.43,3489.85,1
75.761527,-44.092097,45819.9654,2935.34,3430.3313,2002051801001,554.34,3489.68,1
75.761464,-44.091614,45820.0633,2935.21,3430.3591,2002051801001,554.36,3489.57,1
75.761402,-44.091131,45820.1612,2935.09,3430.3887,2002051801001,554.39,3489.48,1
75.761339,-44.090648,45820.2591,2935.02,3430.4183,2002051801001,554.42,3489.43,1
75.761277,-44.090165,45820.3570,2934.94,3430.4478,2002051801001,554.45,3489.39,1
75.761214,-44.089682,45820.4549,2934.86,3430.4774,2002051801001,554.48,3489.34,1
75.761151,-44.089199,45820.5528,2934.75,3430.5065,2002051801001,554.51,3489.26,1
75.761089,-44.088716,45820.6508,2934.62,3430.5353,2002051801001,554.54,3489.16,1
75.761026,-44.088233,45820.7488,2934.45,3430.5642,2002051801001,554.57,3489.02,1
75.760964,-44.087750,45820.8468,2934.25,3430.5930,2002051801001,554.60,3488.85,1
75.760901,-44.087267,45820.9448,2934.02,3430.6218,2002051801001,554.63,3488.65,1
75.760839,-44.086784,45821.0427,2933.77,3430.6459,2002051801001,554.64,3488.42,1
75.760776,-44.086301,45821.1406,2933.50,3430.6639,2002051801001,554.66,3488.16,1
75.760713,-44.085819,45821.2385,2933.20,3430.6819,2002051801001,554.69,3487.88,1
75.760651,-44.085336,45821.3364,2932.89,3430.6999,2002051801001,554.70,3487.60,1
75.760588,-44.084853,45821.4343,2932.58,3430.7179,2002051801001,554.72,3487.30,1
75.760525,-44.084370,45821.5322,2932.26,3430.7353,2002051801001,554.73,3487.00,1
75.760463,-44.083888,45821.6301,2931.94,3430.7516,2002051801001,554.75,3486.68,1
75.760400,-44.083405,45821.7280,2931.56,3430.7679,2002051801001,554.76,3486.32,1
75.760337,-44.082922,45821.8259,2931.11,3430.7841,2002051801001,554.78,3485.88,1
75.760275,-44.082439,45821.9239,2930.61,3430.8004,2002051801001,554.79,3485.40,1
75.760212,-44.081957,45822.0218,2930.08,3430.8177,2002051801001,554.82,3484.90,1
75.760149,-44.081474,45822.1197,2929.55,3430.8386,2002051801001,554.84,3484.39,1
75.760087,-44.080991,45822.2176,2929.06,3430.8596,2002051801001,554.85,3483.91,1
75.760024,-44.080509,45822.3155,2928.60,3430.8805,2002051801001,554.88,3483.48,1
