Latitude,Longitude,Time,Thick,Elevation,Frame,Surface,Bottom,Quality,Date
61.16909,-46.8393,50056.92,582.3,1603.012,2.01E+12,682.57,1264.87,1,6/10/2006
71.11938,-48.0296,57562.65,1943.09,2692.574,2.01E+12,630.07,2573.17,1,6/28/2006
71.11926,-48.0294,57562.85,1946.12,2692.575,2.01E+12,630.07,2576.19,1,6/28/2006
71.11914,-48.0292,57563.05,1949.18,2692.577,2.01E+12,630.03,2579.2,1,6/28/2006
71.11902,-48.0291,57563.25,1952.66,2692.58,2.01E+12,628.79,2581.45,1,6/28/2006
71.1189,-48.0289,57563.45,1955.27,2692.582,2.01E+12,621.34,2576.62,1,6/28/2006
71.11878,-48.0287,57563.66,1957.23,2692.585,2.01E+12,615.07,2572.3,1,6/28/2006
61.8039,-46.1586,44973.57,770.6,2824.034,2.01E+12,667.58,1438.18,1,6/10/2006
61.80392,-46.1591,44974.05,775.21,2824.125,2.01E+12,667.58,1442.79,1,6/10/2006
61.80394,-46.1597,44974.52,779.82,2824.2,2.01E+12,667.58,1447.4,1,6/10/2006
61.80396,-46.1603,44975,784.43,2824.269,2.01E+12,667.58,1452.01,1,6/10/2006
61.80398,-46.1608,44975.47,789.04,2824.327,2.01E+12,667.58,1456.62,1,6/10/2006
63.78041,-48.8031,50072.22,1347.6,2274.961,2.01E+12,622.58,1970.18,1,6/11/2006
63.78068,-48.803,50072.64,1349.48,2275.05,2.01E+12,622.58,1972.06,1,6/11/2006
63.78094,-48.8029,50073.07,1351.35,2275.145,2.01E+12,622.58,1973.93,1,6/11/2006
63.7812,-48.8027,50073.49,1353.23,2275.248,2.01E+12,622.58,1975.81,1,6/11/2006
63.78146,-48.8026,50073.91,1355.11,2275.357,2.01E+12,622.58,1977.69,1,6/11/2006
63.78172,-48.8025,50074.34,1355.35,2275.471,2.01E+12,622.58,1977.93,1,6/11/2006
66.50146,-38.9799,49771.7,889.35,1985.408,2.01E+12,-100.62,788.73,0,9/23/2007
66.50147,-38.9802,49771.83,890.9,1985.65,2.01E+12,-101.11,789.79,0,9/23/2007
66.50147,-38.9806,49771.95,892.49,1985.893,2.01E+12,-101.61,790.89,0,9/23/2007
66.50148,-38.9809,49772.07,894.11,1986.135,2.01E+12,-102.1,792.01,0,9/23/2007
69.21794,-47.9976,63976.05,2148.6,1686.896,2.01E+12,-632.06,1516.54,0,9/20/2007
69.21788,-47.9979,63976.16,2148.7,1686.672,2.01E+12,-632.13,1516.57,0,9/20/2007
69.21783,-47.9983,63976.28,2148.81,1686.449,2.01E+12,-632.21,1516.6,0,9/20/2007
69.21777,-47.9986,63976.39,2148.92,1686.225,2.01E+12,-632.28,1516.64,0,9/20/2007
69.21772,-47.999,63976.5,2149.04,1686.002,2.01E+12,-632.35,1516.69,0,9/20/2007
